Product Name,Brand Name,Price (Ksh),Discount (%),Total Number of Reviews,Product Rating (out of 5)
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Silver. (1YR WRTY),N/A,599,5,4 out of 5(874),4 out of 5
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",N/A,19499,32,4 out of 5(737),4 out of 5
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,N/A,849,35,4.4 out of 5(3853),4.4 out of 5
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)",N/A,11599,36,4.1 out of 5(531),4.1 out of 5
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,N/A,469,49,3.9 out of 5(294),3.9 out of 5
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,N/A,849,53,4.4 out of 5(2816),4.4 out of 5
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",N/A,692,33,4.5 out of 5(1150),4.5 out of 5
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,N/A,1099,37,4.3 out of 5(4258),4.3 out of 5
Starlink Standard Actuated Kit,N/A,39500,61,4.9 out of 5(84),4.9 out of 5
Fashion 6Pcs Soft Cotton Checked Men's Boxers â€“ Multicolor,N/A,528,15,3.6 out of 5(1764),3.6 out of 5
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,N/A,1500,19,4.2 out of 5(2045),4.2 out of 5
Annov 7-Speed Portable Hand Mixer  With Bowl,N/A,899,31,3.8 out of 5(247),3.8 out of 5
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,N/A,789,37,4.3 out of 5(1407),4.3 out of 5
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black (1YR WRTY),N/A,667,52,4.1 out of 5(2219),4.1 out of 5
Rashnik Manual Water Dispenser Pump,N/A,286,0,4.3 out of 5(101),4.3 out of 5
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY",N/A,2399,35,3.8 out of 5(68),3.8 out of 5
Garnier Even & Matte Vitamin C Cleansing Foam,N/A,619,25,4.4 out of 5(2277),4.4 out of 5
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,N/A,10699,47,4.1 out of 5(368),4.1 out of 5
Nunix Free standing Hot and Normal -Q7n White,N/A,3685,0,4 out of 5(103),4 out of 5
Garnier Even & Matte Vitamin C  Booster Serum15ml,N/A,675,25,4.1 out of 5(1010),4.1 out of 5
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,N/A,600,40,4 out of 5(96),4 out of 5
Garnier Bright Complete Bundle Pack,N/A,2547,25,4.5 out of 5(51),4.5 out of 5
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),N/A,845,47,4.1 out of 5(598),4.1 out of 5
RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,N/A,949,39,3.9 out of 5(283),3.9 out of 5
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,N/A,942,30,4.4 out of 5(5106),4.4 out of 5
Stereo F9 Bluetooth Earphone  Power Headset,N/A,540,42,3.9 out of 5(1369),3.9 out of 5
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),N/A,1599,47,4 out of 5(166),4 out of 5
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),N/A,749,46,4.1 out of 5(1093),4.1 out of 5
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),N/A,3289,34,4 out of 5(452),4 out of 5
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,N/A,767 - 850,49,4 out of 5(451),4 out of 5
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",N/A,13795,1,4.3 out of 5(107),4.3 out of 5
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet (1YR WRTY),N/A,6109,28,4.1 out of 5(518),4.1 out of 5
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)",N/A,2349,29,4.1 out of 5(510),4.1 out of 5
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",N/A,5299,30,4.1 out of 5(1030),4.1 out of 5
"Vision Plus VP8832DF - 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT",N/A,11270,30,4 out of 5(515),4 out of 5
Fashion Geneva Men Watches Quartz Wrist Watch LED Backlight-Black,N/A,178,49,3.9 out of 5(74),3.9 out of 5
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),N/A,873,38,3.9 out of 5(865),3.9 out of 5
128GB Metal Usb Flash Drive  3D Embossment,N/A,640,36,3.4 out of 5(338),3.4 out of 5
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,N/A,527,52,3.9 out of 5(708),3.9 out of 5
LED 2.4G Rechargeable Wireless Mouse,N/A,470,50,4.5 out of 5(904),4.5 out of 5
